locatie_code;locatie_lat_etrs89;locatie_lon_etrs89;grootheid_code;grootheid_omschrijving;parameter_code;parameter_omschrijving;hoedanigheid_code;hoedanigheid_omschrijving;compartiment_code;compartiment_omschrijving;eenheid_code;eenheid_omschrijving;typering_code;typering_omschrijving;biotaxon_code;biotaxon_omschrijving;orgaan_code;orgaan_omschrijving;samengestelde_klasse_code;samengestelde_klasse_omschrijving;bemonsterings_soort_code;bemonsterings_apparaat_code;meetapparaat_code;waardebepalings_techniek_code;waardebepalings_methode_code;eventdatum;eventtijd;event_exnum;event_externe_code;event_resultaattijd;event_waarde;event_waarde_limietsymbool;event_waarde_tekst;status_waarde;event_aquocode;inventarisaties_code;inventarisaties_omschrijving
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;44DDE;4,4'-dichloordifenyldichlooretheen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS-MS;other:W5424;2025-01-06;11:55:00;0;2025000334#510LC820'T0001631071#011;2025-01-06 11:55:00.0;2.0E-4;<;+.2E-03;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;44DDE;4,4'-dichloordifenyldichlooretheen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS-MS;other:W5424;2025-02-03;09:41:00;0;2025001674#510LC820'T0001642027#011;2025-02-03 09:41:00.0;2.0E-4;<;+.2E-03;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;44DDE;4,4'-dichloordifenyldichlooretheen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS-MS;other:W5424;2025-09-15;10:55:00;0;2025012210#510LC820'T0001714048#011;2025-09-15 10:55:00.0;2.0E-4;<;0.0002;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;44DDT;4,4'-dichloordifenyltrichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS-MS;other:W5424;2025-01-06;11:55:00;0;2025000334#510LC820'T0001631071#011;2025-01-06 11:55:00.0;2.0E-4;<;+.2E-03;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;44DDT;4,4'-dichloordifenyltrichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS-MS;other:W5424;2025-02-03;09:41:00;0;2025001674#510LC820'T0001642027#011;2025-02-03 09:41:00.0;2.0E-4;<;+.2E-03;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;44DDT;4,4'-dichloordifenyltrichloorethaan;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS-MS;other:W5424;2025-09-15;10:55:00;0;2025012210#510LC820'T0001714048#011;2025-09-15 10:55:00.0;2.0E-4;<;0.0002;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;4C2yTol;4-ethyltolueen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-01-06;11:55:00;0;2025000334#510TA100'T0001631078#008;2025-01-06 11:55:00.0;0.01;<;+.100E-01;Ongecontroleerd;03;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;4C2yTol;4-ethyltolueen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-02-03;09:41:00;0;2025001674#510TA100'T0001642034#008;2025-02-03 09:41:00.0;0.01;<;+.100E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;4C2yTol;4-ethyltolueen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-08-18;12:00:00;0;2025011664#510TA100'T0001707889#008;2025-08-18 12:00:00.0;0.1;<;0.100;Ongecontroleerd;03;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;4C2yTol;4-ethyltolueen;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:I15680;2025-10-13;08:55:00;0;2025012774#510TA100'T0001719431#008;2025-10-13 08:55:00.0;0.01;<;0.0100;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;4ttC8yFol;4-tertiair-octylfenol;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS;other:W5423;2025-01-06;11:55:00;0;2025000334#510LC870'T0001631074#006;2025-01-06 11:55:00.0;0.003;<;+.3E-02;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;4ttC8yFol;4-tertiair-octylfenol;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;GC-MS;other:W5423;2025-05-26;11:30:00;0;2025009151#510LC870'T0001686161#006;2025-05-26 11:30:00.0;0.003;<;0.003;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;Ag;zilver;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:A4414;2025-01-06;11:55:00;0;2025000334#410LS400'T0001631068#011;2025-01-06 11:55:00.0;0.0111;;+.111E-01;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;Ag;zilver;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:A4414;2025-02-03;09:41:00;0;2025001674#410LS400'T0001642024#011;2025-02-03 09:41:00.0;0.0029;;+.290E-02;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;Ag;zilver;NVT;NVT;OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:A4414;2025-09-15;10:55:00;0;2025012210#410LS400'T0001714045#011;2025-09-15 10:55:00.0;0.0038;;0.00380;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;Ag;zilver;nf;opgeloste fractie (bijv. na filtratie);OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:A4414;2025-01-06;11:55:00;0;2025000334#410LS401'T0001631070#009;2025-01-06 11:55:00.0;0.001;<;+.1E-02;Ongecontroleerd;00;NVT;Niet van toepassing
andijk.ijsselmeer;52.750524;5.265018;CONCTTE;(massa)Concentratie;Ag;zilver;nf;opgeloste fractie (bijv. na filtratie);OW;Oppervlaktewater;ug/l;microgram per liter;NVT;NVT;NVT;NVT;NVT;NVT;NVT;NVT;SB;9028;8000;NVT;other:A4414;2025-02-03;09:41:00;0;2025001674#410LS401'T0001642026#009;2025-02-03 09:41:00.0;0.001;<;+.1E-02;Ongecontroleerd;00;NVT;Niet van toepassing
