Stofnaam,KRW status,CAS-nummer,EG-nummer,Aquo-code,SIKB-id,Categorie,Compartiment,Norm,Waarde,Eenheid,Normwaardestatus.code,Normwaardestatus.omschrijving,Achtergrondconcentratie.code,Achtergrondconcentratie.omschrijving,Toelichtende voetnoot 1,Toelichtende voetnoot 2,Toelichtende voetnoot 3,Norm.code,Norm.omschrijving,Normsubgroup.code,Normsubgroup.omschrijving,Compartiment.code,Compartiment.omschrijving,Compartimentsubgroep.code,Compartimentsubgroep.omschrijving,Grootheid.code,Grootheid.omschrijving,Hoedanigheid.code,Hoedanigheid.omschrijving,Waardebewerkingsmethode.code ,Waardebewerkingsmethode.omschrijving,Geldigheid.begindatum,Geldigheid.einddatum,Column1
chryseen,Prioritaire stoffen,218-01-9,205-923-4,Chr,518,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,17",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
cybutryne,Prioritaire stoffen,28159-98-0,248-872-3,irgrl,4024,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,0025",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
cybutryne,Prioritaire stoffen,28159-98-0,248-872-3,irgrl,4024,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,016",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
cypermethrin,Prioritaire stoffen,52315-07-8,257-842-9,cypmtn,547,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"8,00E-05",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,"CAS 52315-07-8 betreft een mengsel van isomeren van cypermethrin, alpha-cypermethrin (CAS 67375-30-8), bèta-cypermethrin (CAS 65731-84-2), theta-cypermethrin (CAS 71697-59-1) en zèta-cypermethrin (52315-07-8).",,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
cypermethrin,Prioritaire stoffen,52315-07-8,257-842-9,cypmtn,547,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"6,00E-04",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,"CAS 52315-07-8 betreft een mengsel van isomeren van cypermethrin, alpha-cypermethrin (CAS 67375-30-8), bèta-cypermethrin (CAS 65731-84-2), theta-cypermethrin (CAS 71697-59-1) en zèta-cypermethrin (52315-07-8).",,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
dichloormethaan,Prioritaire stoffen,75-09-2,200-838-9,DClC1a,619,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),20,µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
dichloorvos,Prioritaire stoffen,62-73-7,200-547-7,DClvs,624,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,0006",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
dichloorvos,Prioritaire stoffen,62-73-7,200-547-7,DClvs,624,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,0007",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
dicofol,Prioritaire stoffen,115-32-2,204-082-0,Dcfl,629,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"1,30E-03",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
diuron,Prioritaire stoffen,330-54-1,206-354-4,Durn,683,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,2",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
diuron,Prioritaire stoffen,330-54-1,206-354-4,Durn,683,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"1,8",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
endosulfan,Prioritaire stoffen,115-29-7,204-079-4,endsfn,2161,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,005",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
endosulfan,Prioritaire stoffen,115-29-7,204-079-4,endsfn,2161,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,01",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
fenantreen,Prioritaire stoffen,85-01-8,201-581-5,Fen,746,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"1,2",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
fenantreen,Prioritaire stoffen,85-01-8,201-581-5,Fen,746,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"7,2",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
fluoranteen,Prioritaire stoffen,206-44-0,205-912-4,Flu,775,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,0063",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
fluoranteen,Prioritaire stoffen,206-44-0,205-912-4,Flu,775,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,12",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
gamma-hexabroomcyclododecaan,Prioritaire stoffen,134237-52-8,,cHBCD,3409,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,0016",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
gamma-hexabroomcyclododecaan,Prioritaire stoffen,134237-52-8,,cHBCD,3409,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,5",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
gebromeerde difenylethers,Prioritaire stoffen,,,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,5",ng/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Voor de groep prioritaire stoffen die vallen onder gebromeerde difenylethers verwijst de MKE naar de som van de concentraties voor de congeneren nr. 28, 47, 99, 100, 153 en 154. ",,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
gebromeerde difenylethers,Prioritaire stoffen,,,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,14",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,"Voor de groep prioritaire stoffen die vallen onder gebromeerde difenylethers verwijst de MKE naar de som van de concentraties voor de congeneren nr. 28, 47, 99, 100, 153 en 154. ",,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
heptabroomdifenylether,Prioritaire stoffen,68928-80-3,273-031-2,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,5",ng/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Voor de groep prioritaire stoffen die vallen onder gebromeerde difenylethers verwijst de MKE naar de som van de concentraties voor de congeneren nr. 28, 47, 99, 100, 153 en 154. ",,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
heptabroomdifenylether,Prioritaire stoffen,68928-80-3,273-031-2,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,14",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,"Voor de groep prioritaire stoffen die vallen onder gebromeerde difenylethers verwijst de MKE naar de som van de concentraties voor de congeneren nr. 28, 47, 99, 100, 153 en 154. ",,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
heptachloor,Prioritaire stoffen,76-44-8,200-962-3,HpCl,853,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"2,00E-07",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,Geldt voor de som van heptachloor en heptachloorepoxide,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
heptachloor,Prioritaire stoffen,76-44-8,200-962-3,HpCl,853,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"3,00E-04",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,Geldt voor de som van heptachloor en heptachloorepoxide,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
heptachloorepoxide,Prioritaire stoffen,1024-57-3,213-831-0,sHpClepO,857,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"2,00E-07",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,Geldt voor de som van heptachloor en heptachloorepoxide,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
heptachloorepoxide,Prioritaire stoffen,1024-57-3,213-831-0,sHpClepO,857,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"3,00E-04",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2027,Geldt voor de som van heptachloor en heptachloorepoxide,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
hexabroomdifenylether,Prioritaire stoffen,36483-60-0,253-058-6,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,5",ng/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Voor de groep prioritaire stoffen die vallen onder gebromeerde difenylethers verwijst de MKE naar de som van de concentraties voor de congeneren nr. 28, 47, 99, 100, 153 en 154. ",,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
hexabroomdifenylether,Prioritaire stoffen,36483-60-0,253-058-6,,,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,14",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,"Voor de groep prioritaire stoffen die vallen onder gebromeerde difenylethers verwijst de MKE naar de som van de concentraties voor de congeneren nr. 28, 47, 99, 100, 153 en 154. ",,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
hexachloorbenzeen,Prioritaire stoffen,118-74-1,204-273-9,HCB,861,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,000026",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Voor deze stof heeft Nederland met het oog op het toezicht op de naleving van de milieukwaliteitseis voor biota, met inachtneming van artikel 3, derde lid, van de richtlijn prioritaire stoffen, een waarde voor de concentratie van de stof in oppervlaktewater afgeleid, waarmee hetzelfde niveau van bescherming wordt geboden dat is beoogd met de milieukwaliteitseis voor biota. ",,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
hexachloorbenzeen,Prioritaire stoffen,118-74-1,204-273-9,HCB,861,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,05",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
hexachloorbutadieen,Prioritaire stoffen,87-68-3,201-765-5,HxClbtDen,2146,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,00055",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Voor deze stof heeft Nederland met het oog op het toezicht op de naleving van de milieukwaliteitseis voor biota, met inachtneming van artikel 3, derde lid, van de richtlijn prioritaire stoffen, een waarde voor de concentratie van de stof in oppervlaktewater afgeleid, waarmee hetzelfde niveau van bescherming wordt geboden dat is beoogd met de milieukwaliteitseis voor biota. ",,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
hexachloorbutadieen,Prioritaire stoffen,87-68-3,201-765-5,HxClbtDen,2146,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,6",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
hexachloorcyclohexaan,Prioritaire stoffen,608-73-1,210-168-9,sHCH,4651,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,02",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,afgeleid voor gamma-HCH en geldt voor som van alle isomeren,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
hexachloorcyclohexaan,Prioritaire stoffen,608-73-1,210-168-9,sHCH,4651,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),"0,04",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,afgeleid voor gamma-HCH en geldt voor som van alle isomeren,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
isoproturon,Prioritaire stoffen,34123-59-6,251-835-4,iptrn,913,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),"0,3",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
isoproturon,Prioritaire stoffen,34123-59-6,251-835-4,iptrn,913,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (totaal),1,µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,,,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,MAX,Maximum,,,
kwik,Prioritaire stoffen,7439-97-6,231-106-7,Hg,1097,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (opgelost),"0,00007",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Deze milieukwaliteitseis heeft betrekking op de opgeloste concentratie. Dit is de opgeloste fase van een watermonster die wordt verkregen door filtratie over een filter van 0,45 ?m of een gelijkwaardige voorbehandeling. In het monitoringsprogramma kan worden bepaald dat bij toetsing van de resultaten van de monitoring aan de milieukwaliteitseis een correctie kan worden toegepast, waarbij rekening wordt gehouden met: natuurlijke achtergrondconcentraties voor metalen en hun verbindingen, indien deze de naleving van de milieukwaliteitseisen beletten, en de hardheid, de pH of andere waterkwaliteitsparameters die de biologische beschikbaarheid van metalen beïnvloeden, waarbij de biobeschikbare concentratie wordt bepaald met behulp van passende biobeschikbaarheidsmodel.","Voor deze stof heeft Nederland met het oog op het toezicht op de naleving van de milieukwaliteitseis voor biota, met inachtneming van artikel 3, derde lid, van de richtlijn prioritaire stoffen, een waarde voor de concentratie van de stof in oppervlaktewater afgeleid, waarmee hetzelfde niveau van bescherming wordt geboden dat is beoogd met de milieukwaliteitseis voor biota. ",,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,nf,na filtratie (opgeloste fractie),JGM,Jaargemiddelde,,,
kwik,Prioritaire stoffen,7439-97-6,231-106-7,Hg,1097,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (opgelost),"0,07",µg/l,NR,Uit regelgeving,EXCLAC,Exclusief achtergrondconcentratie,"Deze milieukwaliteitseis heeft betrekking op de opgeloste concentratie. Dit is de opgeloste fase van een watermonster die wordt verkregen door filtratie over een filter van 0,45 ?m of een gelijkwaardige voorbehandeling. In het monitoringsprogramma kan worden bepaald dat bij toetsing van de resultaten van de monitoring aan de milieukwaliteitseis een correctie kan worden toegepast, waarbij rekening wordt gehouden met: natuurlijke achtergrondconcentraties voor metalen en hun verbindingen, indien deze de naleving van de milieukwaliteitseisen beletten, en de hardheid, de pH of andere waterkwaliteitsparameters die de biologische beschikbaarheid van metalen beïnvloeden, waarbij de biobeschikbare concentratie wordt bepaald met behulp van passende biobeschikbaarheidsmodel.",,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,nf,na filtratie (opgeloste fractie),MAX,Maximum,,,
lood,Prioritaire stoffen,7439-92-1,231-100-4,Pb,1116,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (opgelost),"1,2",µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,"Deze milieukwaliteitseis heeft betrekking op de opgeloste concentratie. Dit is de opgeloste fase van een watermonster die wordt verkregen door filtratie over een filter van 0,45 ?m of een gelijkwaardige voorbehandeling. In het monitoringsprogramma kan worden bepaald dat bij toetsing van de resultaten van de monitoring aan de milieukwaliteitseis een correctie kan worden toegepast, waarbij rekening wordt gehouden met: natuurlijke achtergrondconcentraties voor metalen en hun verbindingen, indien deze de naleving van de milieukwaliteitseisen beletten, en de hardheid, de pH of andere waterkwaliteitsparameters die de biologische beschikbaarheid van metalen beïnvloeden, waarbij de biobeschikbare concentratie wordt bepaald met behulp van passende biobeschikbaarheidsmodel.",datum van realisatie van de milieukwaliteitseis: 22 december 2021,Deze MKN hebben betrekking op de biologisch beschikbare concentraties van de stoffen. ,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,nf,na filtratie (opgeloste fractie),JGM,Jaargemiddelde,,,
lood,Prioritaire stoffen,7439-92-1,231-100-4,Pb,1116,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk MAC-MKN (opgelost),14,µg/l,NR,Uit regelgeving,EXCLAC,Exclusief achtergrondconcentratie,"Deze milieukwaliteitseis heeft betrekking op de opgeloste concentratie. Dit is de opgeloste fase van een watermonster die wordt verkregen door filtratie over een filter van 0,45 ?m of een gelijkwaardige voorbehandeling. In het monitoringsprogramma kan worden bepaald dat bij toetsing van de resultaten van de monitoring aan de milieukwaliteitseis een correctie kan worden toegepast, waarbij rekening wordt gehouden met: natuurlijke achtergrondconcentraties voor metalen en hun verbindingen, indien deze de naleving van de milieukwaliteitseisen beletten, en de hardheid, de pH of andere waterkwaliteitsparameters die de biologische beschikbaarheid van metalen beïnvloeden, waarbij de biobeschikbare concentratie wordt bepaald met behulp van passende biobeschikbaarheidsmodel.",datum van realisatie van de milieukwaliteitseis: 22 december 2021,,MAC,Maximaal aanvaardbare concentratie,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,nf,na filtratie (opgeloste fractie),MAX,Maximum,,,
naftaleen,Prioritaire stoffen,91-20-3,202-049-5,Naf,1259,Milieu,Oppervlaktewater zoet,Landoppervlaktewateren wettelijk JG-MKN (totaal),2,µg/l,NR,Uit regelgeving,INCLAC,Inclusief achtergrondconcentratie,datum van realisatie van de milieukwaliteitseis: 22 december 2021,,,JG-MKN,Jaargemiddelde milieukwaliteitsnorm,GED,Gedegen norm,OW,Oppervlaktewater,ZOET,Landoppervlaktewateren,CONCTTE,(massa)Concentratie,NVT,Niet van toepassing,JGM,Jaargemiddelde,,,
